seed,agent,K,F,T,stakes,structure,total_reward,total_penalty,utility,cognitive_cost,cost_adjusted_utility,dual_picks,dual_rate,dual_rate_cond,E_abs_mean,expansions,revisions
0,Dot,20,5,80,0.0,structured,-22.199433511029344,0.0,-22.199433511029344,0.09,-22.289433511029344,0.0,0.0,0.0,10.508469855147167,0.0,0.0
0,Linear,20,5,80,0.0,structured,62.21585720587793,0.0,62.21585720587793,2.229,59.98685720587793,0.0,0.0,0.0,32.441500604006634,0.0,0.0
0,Network-Full,20,5,80,0.0,structured,89.15513769120915,0.0,89.15513769120915,1.566,87.58913769120915,0.0,0.0,0.0,17.37549766208132,0.0,0.0
0,Network-NoTest,20,5,80,0.0,structured,81.89365621138364,0.0,81.89365621138364,1.6,80.29365621138365,0.0,0.0,0.0,14.604408353154506,0.0,0.0
0,Network-NoUpdate,20,5,80,0.0,structured,68.95329413243508,0.0,68.95329413243508,1.754,67.19929413243507,0.0,0.0,0.0,28.370574505526577,0.0,0.0
0,Dot,20,5,80,0.0,unstructured,-13.401884938028408,0.0,-13.401884938028408,0.09,-13.491884938028408,0.0,0.0,0.0,10.519047390734771,0.0,0.0
0,Linear,20,5,80,0.0,unstructured,6.248657256291754,0.0,6.248657256291754,2.267,3.981657256291754,0.0,0.0,0.0,48.04242726574813,0.0,0.0
0,Network-Full,20,5,80,0.0,unstructured,15.227243542009465,0.0,15.227243542009465,1.7469999999999999,13.480243542009465,0.0,0.0,0.0,30.307794173456955,0.0,0.0
0,Network-NoTest,20,5,80,0.0,unstructured,5.729205740802055,0.0,5.729205740802055,1.733,3.9962057408020546,0.0,0.0,0.0,35.141036878664,0.0,0.0
0,Network-NoUpdate,20,5,80,0.0,unstructured,-9.573996159648136,0.0,-9.573996159648136,1.642,-11.215996159648135,0.0,0.0,0.0,9.013489989823082,0.0,0.0
0,Dot,20,5,80,1.0,structured,-7.468219164427819,2.0570282114274336,-9.525247375855253,0.09,-9.615247375855253,18.0,0.225,0.2463768115942029,3.3967870795262023,0.0,0.0
0,Linear,20,5,80,1.0,structured,79.43996662917755,174.36470385712784,-94.92473722795029,2.1910000000000003,-97.11573722795029,4.0,0.05,0.04,5.756129670781657,0.0,0.0
0,Network-Full,20,5,80,1.0,structured,51.14863676334805,0.6289725050903794,50.51966425825767,1.573,48.94666425825767,4.0,0.05,0.04081632653061224,0.7778217744021869,0.0,0.0
0,Network-NoTest,20,5,80,1.0,structured,41.93966976863964,0.8260516100599902,41.11361815857965,1.582,39.53161815857965,11.0,0.1375,0.11764705882352941,0.8362766661307903,0.0,0.0
0,Network-NoUpdate,20,5,80,1.0,structured,45.50458902569068,1.5551940488257952,43.94939497686488,1.615,42.33439497686488,16.0,0.2,0.1,0.7652669827779074,0.0,0.0
0,Dot,20,5,80,1.0,unstructured,-3.522808095759586,9.3734737852932,-12.896281881052786,0.09,-12.986281881052786,7.0,0.0875,0.08,5.029686097387488,0.0,0.0
0,Linear,20,5,80,1.0,unstructured,130.1801241011365,357.8708378319818,-227.69071373084532,2.286,-229.97671373084532,74.0,0.925,0.9324324324324325,8.21322536345777,0.0,0.0
0,Network-Full,20,5,80,1.0,unstructured,85.86259486887063,1.114833843846693,84.74776102502393,1.682,83.06576102502393,57.0,0.7125,0.6551724137931034,0.8036959806166006,0.0,0.0
0,Network-NoTest,20,5,80,1.0,unstructured,82.87846727795959,0.3700083758776833,82.5084589020819,1.703,80.8054589020819,54.0,0.675,0.65,0.8474178366414336,0.0,0.0
0,Network-NoUpdate,20,5,80,1.0,unstructured,32.35087633318183,0.9000282302166349,31.450848102965196,1.6219999999999999,29.828848102965196,20.0,0.25,0.16,0.7452214933727566,0.0,0.0
0,Dot,50,5,80,0.0,structured,8.444753790061432,0.0,8.444753790061432,0.09,8.354753790061432,0.0,0.0,0.0,2.078224236972974,0.0,0.0
0,Linear,50,5,80,0.0,structured,132.7983655361503,0.0,132.7983655361503,5.3020000000000005,127.4963655361503,0.0,0.0,0.0,9.792783424186611,0.0,0.0
0,Network-Full,50,5,80,0.0,structured,130.2887253447169,0.0,130.2887253447169,1.738,128.5507253447169,0.0,0.0,0.0,9.306793843444796,0.0,0.0
0,Network-NoTest,50,5,80,0.0,structured,133.64590345237264,0.0,133.64590345237264,1.72,131.92590345237264,0.0,0.0,0.0,7.369914807526769,0.0,0.0
0,Network-NoUpdate,50,5,80,0.0,structured,123.62072500276464,0.0,123.62072500276464,1.738,121.88272500276464,0.0,0.0,0.0,6.322606467739135,0.0,0.0
0,Dot,50,5,80,0.0,unstructured,-8.484231897004157,0.0,-8.484231897004157,0.09,-8.574231897004157,0.0,0.0,0.0,7.927775157457072,0.0,0.0
0,Linear,50,5,80,0.0,unstructured,108.69556265523968,0.0,108.69556265523968,5.155,103.54056265523968,0.0,0.0,0.0,55.183317959738574,0.0,0.0
0,Network-Full,50,5,80,0.0,unstructured,3.0336894098348397,0.0,3.0336894098348397,1.765,1.2686894098348398,0.0,0.0,0.0,8.230836395184346,0.0,0.0
0,Network-NoTest,50,5,80,0.0,unstructured,14.654027713579413,0.0,14.654027713579413,1.756,12.898027713579413,0.0,0.0,0.0,9.872678284832071,0.0,0.0
0,Network-NoUpdate,50,5,80,0.0,unstructured,8.15553977442443,0.0,8.15553977442443,27.747,-19.59146022557557,0.0,0.0,0.0,6.573522635558129,1.0,0.0
0,Dot,50,5,80,1.0,structured,11.1619780256012,0.5819690474024838,10.580008978198716,0.09,10.490008978198716,1.0,0.0125,0.01639344262295082,1.5113546731422671,0.0,0.0
