agent,structure,stakes,K,reward_mean,reward_std,penalty_mean,penalty_std,utility_mean,utility_std,cog_mean,cog_std,cau_mean,cau_std,dual_mean,dual_rate_mean,dual_rate_std,dual_rate_cond_mean,dual_rate_cond_std,E_abs_mean,expansions_mean,revisions_mean
Dot,structured,0.0,20,0.9747537917063985,9.99301122032684,0.0,0.0,0.9747537917063985,9.99301122032684,0.09,0.0,0.8847537917063986,9.99301122032684,0.0,0.0,0.0,0.0,0.0,5.2467384650305835,0.0,0.0
Dot,structured,0.0,50,-1.1625820617154563,8.63973717986136,0.0,0.0,-1.1625820617154563,8.63973717986136,0.09,0.0,-1.2525820617154562,8.63973717986136,0.0,0.0,0.0,0.0,0.0,4.957137767593664,0.0,0.0
Dot,structured,0.0,100,-0.3741928618307334,9.032383861492281,0.0,0.0,-0.3741928618307334,9.032383861492281,0.09,0.0,-0.4641928618307333,9.032383861492281,0.0,0.0,0.0,0.0,0.0,4.567604361290427,0.0,0.0
Dot,structured,0.0,200,-0.13120062999633106,8.688301077525383,0.0,0.0,-0.13120062999633106,8.688301077525383,0.09,0.0,-0.22120062999633094,8.688301077525383,0.0,0.0,0.0,0.0,0.0,4.200560523872465,0.0,0.0
Dot,structured,1.0,20,1.672548732116011,9.977090669341486,110.32191342974642,142.83680968811197,-108.64936469763039,145.48615914442055,0.09,0.0,-108.73936469763039,145.48615914442055,7.95,0.099375,0.08278941811925757,0.09950790230094658,0.08398529422300316,5.300226756522188,0.0,0.0
Dot,structured,1.0,50,0.30698166062636095,8.173033696574878,108.0138428659758,136.28631857239114,-107.70686120534945,138.95088205775443,0.09,0.0,-107.79686120534944,138.95088205775443,3.3,0.04125,0.04295361016564994,0.04115822066678874,0.04374597492168179,4.989548839313706,0.0,0.0
Dot,structured,1.0,100,-0.49448993831594534,9.220058835354994,67.52166579169015,80.95547331486144,-68.0161557300061,83.13124352713704,0.09,0.0,-68.10615573000611,83.13124352713704,2.5,0.03125,0.04014258048103992,0.03238568678215224,0.04157883675089767,4.400993335853139,0.0,0.0
Dot,structured,1.0,200,-1.1247668123709567,9.14896850822094,73.64714997330442,100.49858538458896,-74.77191678567537,101.39282592645235,0.09,0.0,-74.86191678567538,101.39282592645235,3.18,0.03975,0.04924877581414506,0.0399256961564095,0.04979239083615179,4.751073997302393,0.0,0.0
Dot,unstructured,0.0,20,2.029294635328042,8.244518543600867,0.0,0.0,2.029294635328042,8.244518543600867,0.09,0.0,1.939294635328042,8.244518543600867,0.0,0.0,0.0,0.0,0.0,4.752740364944654,0.0,0.0
Dot,unstructured,0.0,50,-0.29097408417855264,8.421533152988463,0.0,0.0,-0.29097408417855264,8.421533152988463,0.09,0.0,-0.38097408417855244,8.421533152988463,0.0,0.0,0.0,0.0,0.0,4.845428751395634,0.0,0.0
